Network,MeanActivation
Visual A,0.580836467499748
Visual B,0.925742500734179
Somatomotor A,0.696542994565323
Somatomotor B,0.495829470011882
Dorsal Attention A,0.672900877040151
Dorsal Attention B,0.543036886476867
Salience A,0.526236295774906
Salience B,0.377644304260612
Limbic A,0.603990143576742
Limbic B,0.392585007400408
Control A,0.842396240664399
Control B,0.584097874974406
Control C,0.323426682437996
Default A,0.616939639961279
Default B,0.750033620461391
Default C,0.522457206323972
Temporal Parietal,0.489851446390397
