Network,MeanActivation
Visual A,0.463947237114517
Visual B,0.861986972211453
Somatomotor A,1.26559939535149
Somatomotor B,1.08524512791037
Dorsal Attention A,0.64062291220806
Dorsal Attention B,0.780467882622598
Salience A,1.32989798340179
Salience B,0.939439738841065
Limbic A,0.640635510678276
Limbic B,1.12306876086776
Control A,0.585195729971475
Control B,0.963508032344692
Control C,1.35857116109666
Default A,1.047458672114
Default B,0.187393546143135
Default C,0.897196351187411
Temporal Parietal,1.09117454414476
