Network,MeanActivation
Visual A,0.382633770101692
Visual B,0.256313737446445
Somatomotor A,0.520653789664169
Somatomotor B,0.661514603625713
Dorsal Attention A,0.432627567655603
Dorsal Attention B,0.451490826991866
Salience A,0.543319302859622
Salience B,0.205229641091928
Limbic A,0.221159148612436
Limbic B,0.716181859046238
Control A,0
Control B,0
Control C,0.164461583949784
Default A,0.439054602970256
Default B,0
Default C,0.177006992890149
Temporal Parietal,0.435093158112681
