Network,MeanActivation
Visual A,0.142167159816628
Visual B,0.152907274213068
Somatomotor A,0.788128560326623
Somatomotor B,0.908714953007066
Dorsal Attention A,0.404350145131836
Dorsal Attention B,0.358264342525121
Salience A,0.59294001800924
Salience B,0.408386884145256
Limbic A,0.762670887922886
Limbic B,0.258448023416035
Control A,0.667222945269936
Control B,0.652793212327027
Control C,0.601266065924289
Default A,0.391580467476793
Default B,0.499182108225539
Default C,0.684371593041246
Temporal Parietal,0.526205151406137
