Network,MeanActivation
Visual A,3.102030122464
Visual B,2.43949184811483
Somatomotor A,0.698391178753202
Somatomotor B,1.14009270308441
Dorsal Attention A,2.03962183936605
Dorsal Attention B,0.980816900003536
Salience A,1.19490099258914
Salience B,1.65942491589722
Limbic A,2.08464546040682
Limbic B,4.30076637048863
Control A,0.722438323918149
Control B,0.720343501029362
Control C,1.17633255593875
Default A,1.60727483567784
Default B,1.70788318355055
Default C,2.13689869825436
Temporal Parietal,2.07754708230575
