Network,MeanActivation
Visual A,0.781483881601301
Visual B,0.560211157881551
Somatomotor A,0.529275639648966
Somatomotor B,0
Dorsal Attention A,0.541045119078393
Dorsal Attention B,0.342553430912724
Salience A,0
Salience B,0.331082133692769
Limbic A,0.579494408321688
Limbic B,0.973659064766894
Control A,0.862423506829948
Control B,0.125858691756795
Control C,0.786348064270797
Default A,0.322879704784156
Default B,0.987248129607564
Default C,1.0311550980369
Temporal Parietal,0.746318117860655
