Network,MeanActivation
Visual A,0.916312873340535
Visual B,0.591799737164345
Somatomotor A,0.184576670856224
Somatomotor B,0
Dorsal Attention A,0.786444737657965
Dorsal Attention B,0.418016431388921
Salience A,0.11935227306279
Salience B,0.366604891302731
Limbic A,0.337698548790622
Limbic B,0.67730980073094
Control A,1.25201727530726
Control B,0.65832731112993
Control C,0.726883986277583
Default A,0.202155933956082
Default B,0.878761946632812
Default C,0.477945158134454
Temporal Parietal,0.283871524509863
